delivery_year,lda,clearing_price,mw_cleared
2026/27,DLCO,,2399.6729402189026
2026/27,DOM,329.17,22133.163340722804
2026/27,DPL,,3437.122087839274
2026/27,DPL SOUTH,329.17,998.0
2026/27,EKPC,,2178.643210002781
2026/27,EMAAC,329.17,23939.8
2026/27,JCPL,329.17,5257.689816026699
2026/27,MAAC,329.17,51551.8
2026/27,METED,,2752.808187997971
2026/27,OVEC,,54.891489292083165
2026/27,PECO,,7482.624848665802
2026/27,PENLC,,2557.9434010110754
2026/27,PEPCO,329.17,5369.302510920602
2026/27,PL,329.17,7004.154033669813
2026/27,PS,329.17,9142.177541596451
2026/27,PS NORTH,329.17,2361.5
2026/27,RECO,,357.7095385534086
2026/27,RTO,329.17,134205.3
2026/27,SWMAAC,329.17,6446.0
2027/28,AE,,2080.134624559727
2027/28,AEP,,12505.606976441997
2027/28,APS,,7951.638933934298
2027/28,ATSI,333.44,11201.13222524907
2027/28,ATSI-Cleveland,333.44,1651.6
2027/28,BGE,333.44,5584.680485453522
2027/28,COMED,333.44,17119.41088129384
2027/28,DAYTON,333.44,3049.157881991454
2027/28,DEOK,333.44,4519.46093015289
2027/28,DLCO,,2320.184101810574
2027/28,DOM,333.44,22962.67407569773
2027/28,DPL,,3308.6231257846484
2027/28,DPL SOUTH,333.44,959.6
2027/28,EKPC,,2129.556575758431
2027/28,EMAAC,333.44,23863.2
2027/28,JCPL,333.44,5071.927741766971
2027/28,MAAC,333.44,51665.7
2027/28,METED,,2680.258317686844
2027/28,OVEC,,52.95209057003972
2027/28,PECO,,7287.972732123133
2027/28,PENLC,,2474.627699306523
2027/28,PEPCO,333.44,5195.482619763731
2027/28,PL,333.44,7693.938759826771
2027/28,PS,333.44,8944.490632122544
2027/28,PS NORTH,333.44,2379.7
2027/28,RECO,,344.1885887052582
2027/28,RTO,333.44,134478.1
2027/28,SWMAAC,333.44,6482.6
