"mcpi","project","owner","ownership_cat","lon","lat","overall_sqft","built_status","zoning","place_type","policy_area","gis_acres","n_buildings","total_bldg_sqft","earliest_permit","latest_permit","earliest_year","n_built","n_under_construction","addresses"
"030297084000","NOKES PLAZA","MEDINA DC 2 ASSETS LLC","Private",-77.412994,39.023213,88490,"BUILT","PDIP","SUBURBAN EMPLOYMENT","SUBURBAN",6.2378251182094,1,88490,"1997-12-18","1997-12-18",1998,1,0,"45901 NOKES BLVD"
"030391106000","NOKES PLAZA","MEDINA DC 2 ASSETS LLC","Private",-77.415243,39.023785,76811,"BUILT","PDIP","SUBURBAN EMPLOYMENT","SUBURBAN",6.01739933615408,1,76811,"2000-06-01","2000-06-01",1999,1,0,"45845 NOKES BLVD"
"045279612000","ALIGNED ENERGY","ALIGNED DATA CENTERS RELO PROPCO LLC","Private",-77.440756,38.988357,304166,"BUILT","OP","SUBURBAN INDUSTRIAL/MINERAL EXTRACTION","SUBURBAN",10.177286638382,1,304166,"2022-10-13","2022-10-13",2024,1,0,"22715 RELOCATION DR"
"042295813000","STAVERTON/SEVERN","ELECTRIC BUILDING LLC","Private",-77.434422,39.021153,36000,"BUILT","PDIP","SUBURBAN MIXED USE","SUBURBAN",2.75415401905417,1,36000,"2014-10-07","2014-10-07",2018,1,0,"1304 SQUIRE CT"
"060298548000","BEAUMEADE","RAGINGWIRE DATA CENTERS INC","Private",-77.455232,39.022159,109320,"BUILT","IP","SUBURBAN EMPLOYMENT","SUBURBAN",7.19596657740073,1,109320,"","",2012,1,0,"44664 GUILFORD DR"
"060108050000","BEAUMEADE","BEAUMEADE TECHNOLOGY PARTNERS LLC","Private",-77.451464,39.020462,152504,"BUILT","IP","SUBURBAN EMPLOYMENT","SUBURBAN",10.7048113716888,1,152504,"2011-06-29","2011-06-29",2011,1,0,"21551 BEAUMEADE CIR"
"030399036000","LOUDOUN TECH CENTER","MEDINA DC 2 ASSETS LLC","Private",-77.413192,39.024998,136482,"BUILT","PDIP","SUBURBAN MIXED USE","SUBURBAN",8.49226033715614,1,136482,"2001-02-12","2001-02-12",2001,1,0,"21110 RIDGETOP CIR"
"060202337000","BEAUMEADE","MONTEREY DC ASSETS LLC","Private",-77.45422,39.021156,164405,"BUILT","IP","SUBURBAN EMPLOYMENT","SUBURBAN",14.0106102567615,2,164405,"1999-11-24","1999-11-24",2000,2,0,"21561 BEAUMEADE CIR; 21571 BEAUMEADE CIR"
"044174648000","BROAD RUN TECHNOLOGY PARK","VERISIGN INC","Private",-77.444469,38.997705,136908,"BUILT","IP","SUBURBAN EMPLOYMENT","SUBURBAN",14.4704439510827,1,136908,"2000-06-20","2000-06-20",2001,1,0,"22340 DRESDEN ST"
"089372808000","DIGITAL REALTY CAMPUS 1","G I P STOUGHTON LLC","Private",-77.485136,39.003287,135000,"BUILT","OP","URBAN TRANSIT CENTER","URBAN",6.75890931959388,1,135000,"2000-12-06","2000-12-06",2001,1,0,"43831 DEVIN SHAFRON DR"
"089367531000","DIGITAL REALTY CAMPUS 1","DIGITAL DEVIN SHAFRON D LLC","Private",-77.487183,39.003358,117000,"BUILT","OP","URBAN TRANSIT CENTER","URBAN",7.74123497059099,1,117000,"2000-12-06","2000-12-06",2001,1,0,"43791 DEVIN SHAFRON DR"
"045159083000","SUMMIT AT DULLES","FR SUMMIT LLC","Private",-77.447453,38.989454,66810,"BUILT","PDGI","SUBURBAN INDUSTRIAL/MINERAL EXTRACTION","SUBURBAN",10.3117881248091,1,66810,"2014-10-07","2014-10-07",2015,1,0,"22630 DULLES SUMMIT CT"
"089382215000","DIGITAL REALTY CAMPUS 1","GI TC DEVIN SHAFRON LLC","Private",-77.482268,39.003392,133560,"BUILT","OP","URBAN TRANSIT CENTER","URBAN",8.16972069878097,1,133560,"2009-07-10","2009-07-10",2010,1,0,"43915 DEVIN SHAFRON DR"
"089278681000","DIGITAL REALTY CAMPUS 1","DIGITAL DEVIN SHAFRON B LLC","Private",-77.483478,39.002295,180000,"BUILT","OP","URBAN TRANSIT CENTER","URBAN",10.3617598874513,1,180000,"","",2001,1,0,"43881 DEVIN SHAFRON DR"
"062462761000","DIGITAL LOUDOUN III (DIGITIAL REALITY CAMPUS 2)","DIGITAL LOUDOUN 3 LLC","Private",-77.467904,39.006582,1065101,"BUILT","OP","SUBURBAN EMPLOYMENT","SUBURBAN",93.6144079952835,3,1065101,"2016-11-17","2022-01-19",2017,3,0,"44372 ROUND TABLE PLZ; 44540 ROUND TABLE PLZ; 44274 ROUND TABLE PLZ"
"061307725000","BEAUMEADE","EQUINIX LLC","Private",-77.451743,39.014868,69800,"BUILT","PDIP","SUBURBAN EMPLOYMENT","SUBURBAN",4.77673108354496,1,69800,"2003-04-18","2003-04-18",2006,1,0,"21301 BEAUMEADE CIR"
"088481748000","ASHBURN CENTER NORTH","ZCOLO LLC","Private",-77.482315,39.017802,286800,"BUILT","IP","SUBURBAN EMPLOYMENT","SUBURBAN",11.0034698663202,1,286800,"2022-01-20","2022-01-20",2023,1,0,"21630 RED RUM DR"
"045252512000","PROLOGIS NOVA 1","DCT DULLES PHASE I LLC","Private",-77.449882,38.98962,243908,"UNDER CONSTRUCTION","GI","SUBURBAN INDUSTRIAL/MINERAL EXTRACTION","SUBURBAN",10.2242231352661,1,243908,"2024-04-03","2024-04-03",NA,0,1,"22665 DULLES SUMMIT CT"
"045254455000","SUMMIT AT DULLES","DCT DULLES PHASE II LLC","Private",-77.448206,38.99042,75802,"BUILT","PDGI","SUBURBAN INDUSTRIAL/MINERAL EXTRACTION","SUBURBAN",5.84858467790911,1,75802,"2011-08-23","2011-08-23",2012,1,0,"22651 DULLES SUMMIT CT"
"045358110000","SUMMIT AT DULLES","DCT DULLES PHASE II LLC","Private",-77.448138,38.990994,103045,"BUILT","PDGI","SUBURBAN INDUSTRIAL/MINERAL EXTRACTION","SUBURBAN",7.424512700495,1,103045,"2011-08-23","2011-08-23",2012,1,0,"22631 DULLES SUMMIT CT"
"042200988000","STAVERTON/SEVERN","GI TC 45360 SEVERN WAY LLC","Private",-77.433429,39.021803,126869,"BUILT","PDIP","SUBURBAN MIXED USE","SUBURBAN",7.65654789699665,1,126869,"2014-10-07","2014-10-07",2012,1,0,"45360 SEVERN WAY W"
"060485060000","ASHBURN VILLAGE","DC-8-9-10 DE LLC","Private",-77.458183,39.029219,642582,"BUILT","PDH4","SUBURBAN EMPLOYMENT","SUBURBAN",34.9937175631001,3,642582,"2013-05-16","2014-10-17",2014,3,0,"21271 SMITH SWITCH RD; 21267 SMITH SWITCH RD; 21263 SMITH SWITCH RD"
"060386530000","BEAUMEADE","NTT GLOBAL DATA CENTERS AMERICAS INC","Private",-77.457802,39.024562,123200,"BUILT","IP","SUBURBAN EMPLOYMENT","SUBURBAN",4.76455714322154,1,123200,"2020-05-18","2020-05-18",2020,1,0,"44610 GUILFORD DR"
"060182916000","ASHBURN CORPORATE CENTER","","Private",-77.460096,39.020846,287980,"BUILT","IP","SUBURBAN EMPLOYMENT","SUBURBAN",22.0686106210874,3,287980,"2000-08-30","2001-05-01",2001,3,0,"44470 CHILUM PL; 44520 HASTINGS DR; 44490 CHILUM PL"
"089374763000","DIGITAL REALTY CAMPUS 1","","Private",-77.484533,39.004033,240326,"BUILT","IP","URBAN TRANSIT CENTER","URBAN",16.5028934924756,2,240326,"2010-07-23","2010-07-23",2011,2,0,"43830 DEVIN SHAFRON DR; 43790 DEVIN SHAFRON DR"
"045175529000","CONCORDE INDUSTRIAL PARK","MCP 22745 & 22755 RELOCATION DRIVE LLC","Private",-77.441731,38.985894,251091,"BUILT","IP","SUBURBAN INDUSTRIAL/MINERAL EXTRACTION","SUBURBAN",16.6734926075851,2,251091,"2014-02-06","2014-02-06",2015,2,0,"22745 RELOCATION DR; 22755 RELOCATION DR"
"089291706000","DIGITAL REALTY CAMPUS 1","DIGITAL LOUDOUN PKWY CTR NORTH LLC","Private",-77.477803,39.000533,929347,"BUILT","OP","URBAN TRANSIT CENTER","URBAN",38.2080786831384,4,929347,"2013-03-21","2016-03-16",2014,4,0,"43780 DIGITAL LOUDOUN PLZ; 43940 DIGITAL LOUDOUN PLZ; 44060 DIGITAL LOUDOUN PLZ"
"088200644000","QUANTUM PARK (VERIZON CAMPUS)","EQUINIX LLC","Private",-77.475329,39.012592,108336,"BUILT","OP","SUBURBAN EMPLOYMENT","SUBURBAN",6.21439742837076,1,108336,"2000-01-19","2000-01-19",2000,1,0,"21830 UUNET DR"
"034468458000","DULLES INTERNATIONAL","22810-22860 INTERNATIONAL DRIVE LLC","Private",-77.423999,38.984667,121008,"BUILT","IP","SUBURBAN EMPLOYMENT","SUBURBAN",12.1462306033287,2,121008,"1999-02-05","1999-08-03",1999,2,0,"22860 INTERNATIONAL DR; 22810 INTERNATIONAL DR"
"034462865000","DULLES INTERNATIONAL","C1 NORTHERN VIRGINIA - STERLING IV LLC","Private",-77.424902,38.985252,128521,"BUILT","IP","SUBURBAN EMPLOYMENT","SUBURBAN",9.9559648070101,1,128521,"","",2017,1,0,"22811 INTERNATIONAL DR"
"044370416000","DIGITAL LOUDOUN IV","DIGITAL LOUDOUN IV LLC","Private",-77.451651,39.004866,788982,"BUILT","IP","SUBURBAN EMPLOYMENT","SUBURBAN",111.780909997656,2,788982,"2020-03-25","2023-08-28",2021,2,0,"22125 BRODERICK DR; 44820 PRENTICE DR"
"060307119000","BEAUMEADE","BCORE COPT DC-15 LLC","Private",-77.450718,39.026083,447228,"BUILT","IP","SUBURBAN EMPLOYMENT","SUBURBAN",37.9371294872615,3,447228,"2015-10-15","2016-04-08",2016,3,0,"44858 INTERCONNECTION PL; 44862 INTERCONNECTION PL; 44854 INTERCONNECTION PL"
"041352218000","ST JOHN & BEAUMEADE","BEAUMEADE LC PHASE III LLC","Private",-77.449254,39.036551,147615,"BUILT","IP","SUBURBAN EMPLOYMENT","SUBURBAN",10.1147521986405,1,147615,"2019-03-27","2019-03-27",2019,1,0,"20935 LOUDOUN COUNTY PKWY"
"059309091000","ST JOHN & BEAUMEADE","BEAUMEADE LC PHASE III LLC","Private",-77.450719,39.036484,147615,"BUILT","IP","SUBURBAN EMPLOYMENT","SUBURBAN",10.7024296617921,1,147615,"2018-01-11","2018-01-11",2018,1,0,"20945 LOUDOUN COUNTY PKWY"
"060209652000","BEAUMEADE","EQUINIX RP II LLC","Private",-77.44901,39.02341,977543,"BUILT","IP","SUBURBAN EMPLOYMENT","SUBURBAN",40.2751447158841,4,977543,"2017-08-25","2025-05-02",2017,3,1,"44780 PERFORMANCE CIR; 44740 PERFORMANCE CIR; 44790 PERFORMANCE CIR"
"124369522000","CYRUSONE","C1 NORTHERN VIRGINIA - STERLING IX LLC","Private",-77.504145,38.958882,691656,"BUILT/UNDER CONSTRUCTION","GI","SUBURBAN INDUSTRIAL/MINERAL EXTRACTION","SUBURBAN",39.814508364982,3,691656,"2020-11-19","2025-07-07",2021,2,1,"43304 OLD OX RD; 43290 OLD OX RD; 43294 OLD OX RD"
"061361948000","DUPONT FABROS 1","BLUE SLING ACC 9 LLC","Private",-77.468016,39.015963,362108,"BUILT","OP","SUBURBAN EMPLOYMENT","SUBURBAN",18.8314723736151,1,362108,"2016-06-21","2016-06-21",2017,1,0,"21745 SIR TIMOTHY DR"
"061268762000","DUPONT FABROS 1","BLUE SLING ACC 10 LLC","Private",-77.467186,39.014008,318143,"BUILT","OP","SUBURBAN EMPLOYMENT","SUBURBAN",16.556023157198,1,318143,"2017-06-21","2017-06-21",2018,1,0,"21744 SIR TIMOTHY DR"
"042197707000","PARAGON PARK","BCORE COPT DC-21 LLC","Private",-77.433641,39.020188,296380,"BUILT","IP","SUBURBAN MIXED USE","SUBURBAN",24.363800115347,2,296380,"2017-06-02","2017-06-02",2017,2,0,"45305 SEVERN WAY W; 45295 SEVERN WAY W"
"030296913000","TALL OAKS","C1 NORTHERN VIRGINIA - STERLING VIII LLC","Private",-77.413152,39.021139,154125,"BUILT","IP","SUBURBAN EMPLOYMENT","SUBURBAN",9.71647003704381,1,154125,"2017-08-25","2017-08-25",2018,1,0,"45905 MARIES RD"
"030382006000","TALL OAKS","MARIES TECH PARK LLC","Private",-77.419185,39.023941,426710,"BUILT","IP","SUBURBAN EMPLOYMENT","SUBURBAN",19.5719915762284,2,426710,"2018-06-15","2018-10-10",2019,2,0,"45761 MARIES RD; 45771 MARIES RD"
"033201325000","TRANSDULLES","AMAZON DATA SERVICES INC","Private",-77.411765,38.987646,437160,"BUILT","PDIP","SUBURBAN EMPLOYMENT","SUBURBAN",33.0803507517823,3,437160,"2017-01-13","2017-03-10",2017,3,0,"45900 PATHFINDER PLZ; 45950 PATHFINDER PLZ; 45930 PATHFINDER PLZ"
"034365461000","JK CORPORATE CAMPUS","DULLES NCP LLC","Private",-77.42523,38.982533,203200,"BUILT","IP","SUBURBAN EMPLOYMENT","SUBURBAN",13.0006684896136,1,203200,"2018-10-04","2018-10-04",2019,1,0,"22916 INTERNATIONAL DR"
"044282013000","BROAD RUN TECHNOLOGY PARK","GI TC LOUDOUN LLC","Private",-77.439852,39.000415,97577,"BUILT","OP","SUBURBAN EMPLOYMENT","SUBURBAN",23.8399448076314,1,97577,"2019-05-13","2019-05-13",2019,1,0,"22262 CLOUD PLZ"
"097398776000","","ML-AI QCC OWNER LLC","Private",-77.477199,38.916708,508026,"BUILT","GI","SUBURBAN INDUSTRIAL/MINERAL EXTRACTION","SUBURBAN",43.4015709770525,3,508026,"2018-05-17","2018-08-24",2019,3,0,"25420 SUTTON BAY PLZ; 25430 SUTTON BAY PLZ; 25390 SUTTON BAY PLZ"
"124299328000","PROLOGIS PARK GATEWAY - RT 606","PROLOGIS-EXCHANGE 43461 OLD OX ROAD LLC","Private",-77.496243,38.957836,474570,"BUILT","GI","SUBURBAN INDUSTRIAL/MINERAL EXTRACTION","SUBURBAN",27.034605381882,3,474570,"2018-05-02","2018-08-03",2018,3,0,"23845 ERINS RUN DR; 23835 ERINS RUN DR; 23825 ERINS RUN DR"
"088101859000","QUANTUM PARK (VERIZON CAMPUS)","ALIGNED ENERGY DATA CENTERS IAD PROPCO LLC","Private",-77.475315,39.009616,4800,"BUILT","OP","SUBURBAN EMPLOYMENT","SUBURBAN",10.8496660916657,1,4800,"2020-07-27","2020-07-27",2021,1,0,"21821 UUNET DR"
