"mcpi","project","owner","ownership_cat","lon","lat","overall_sqft","built_status","zoning","place_type","policy_area","gis_acres","n_buildings","total_bldg_sqft","earliest_permit","latest_permit","earliest_year","n_built","n_under_construction","addresses"
"162392026000","ICSP @ ARCOLA","AMAZON DATA SERVICES, INC","Private",-77.521821,38.948644,529051,"BUILT","GI","SUBURBAN INDUSTRIAL/MINERAL EXTRACTION","SUBURBAN",63.5979529889707,6,529051,"2015-12-08","2020-12-11",2017,6,0,"24141 UPPER WOODSIDE LN; 24185 UPPER WOODSIDE LN; 24178 UPPER WOODSIDE LN"
"235297431000","COMPASS CREEK","MICROSOFT CORP","Private",-77.561423,39.068271,1147995,"BUILT/UNDER CONSTRUCTION","TOWNS","TOWNS","TOWN",324.009944561718,7,1147995,"2020-08-24","2024-08-27",2021,4,3,"19540 COMPASS CREEK PKWY; 19515 COMPASS CREEK PKWY; 41730 INCLUSION LN"
"162176713000","ARCOLA CENTER","WHEELER SURVEY COMPANY LLC","Private",-77.529837,38.942475,323202,"BUILT/UNDER CONSTRUCTION","IP","SUBURBAN MIXED USE","SUBURBAN",118.986804951414,4,714330,"2019-05-21","2025-08-27",2019,2,2,"24550 HOWLING ROOSTER LN; 24555 HOWLING ROOSTER LN; 24531 HOWLING ROOSTER LN"
"043482656000","PARAGON PARK","CABIN BRANCH CREEK LLC","Private",-77.438403,39.017645,685682,"BUILT","IP","SUBURBAN EMPLOYMENT","SUBURBAN",53.9623080740791,4,685682,"2019-08-01","2020-04-27",2020,4,0,"21660 CHARLES VIEW DR; 21641 CHARLES VIEW DR; 21710 CHARLES VIEW DR"
"044261032000","BROAD RUN TECHNOLOGY PARK","SI NVA01, LLC","Private",-77.442241,39.005248,180039,"BUILT","OP","SUBURBAN EMPLOYMENT","SUBURBAN",15.9820786781723,1,180039,"1997-09-08","1997-09-08",1998,1,0,"22080 PACIFIC BLVD"
"045299249000","DIGITAL STERLING PREMEIRE","DIGITAL STERLING PREMIER LLC","Private",-77.433958,38.989462,258200,"BUILT","IP","SUBURBAN EMPLOYMENT","SUBURBAN",13.7716005257764,1,258200,"2022-06-07","2022-06-07",2023,1,0,"22574 PACIFIC BLVD"
"063494014000","WEST DULLES STATION","QTS LOCKRIDGE DC2 LLC","Private",-77.457309,38.995278,274450,"BUILT","IP","URBAN TRANSIT CENTER","URBAN",9.02401337282027,1,274450,"2022-05-19","2022-05-19",2025,1,0,"44655 QUALITY TECH LN"
"063498140000","WEST DULLES STATION","ASHBURN ACQUISITION CO II LLC","Private",-77.455763,38.995996,308630,"BUILT","IP","URBAN TRANSIT CENTER","URBAN",14.4392741633059,1,308630,"2022-03-09","2022-03-09",2023,1,0,"44675 QUALITY TECH LN"
"044381108000","BROAD RUN TECHNOLOGY PARK","","Private",-77.439747,39.003094,729298,"BUILT","OP","SUBURBAN EMPLOYMENT","SUBURBAN",17.683272386689,2,729298,"2021-08-05","2022-04-11",2022,2,0,"45070 VANTAGE DATA PLZ; 45130 VANTAGE DATA PLZ"
"234382603000","COMPASS CREEK","","Private",-77.564798,39.080677,NA,"BUILT/UNDER CONSTRUCTION","TOWNS","TOWNS","TOWN",33.1779567982433,NA,NA,"","",2021,NA,NA,""
"045195615000","LOUDOUN GATEWAY CENTER","AMAZON DATA SERVICES INC","Private",-77.436123,38.986823,226456,"BUILT","IP","SUBURBAN EMPLOYMENT","SUBURBAN",17.0902697658733,1,226456,"2023-03-20","2023-03-20",NA,1,0,"22760 PACIFIC BLVD"
"044152877000","BROAD RUN BUSINESS CENTER","QTS INVESTMENT PROPERTIES ASHBURN LLC","Private",-77.449922,38.999946,427337,"BUILT","IP","SUBURBAN EMPLOYMENT","SUBURBAN",16.3304643186276,1,427337,"2017-08-29","2017-08-29",2019,1,0,"22271 BRODERICK DR"
"097354183000","ICSP @ EASTGATE","AMAZON DATA SERVICES, INC","Private",-77.493603,38.917079,778085,"BUILT","CLI","SUBURBAN COMMERCIAL","SUBURBAN",48.03941170896,6,778085,"2015-06-05","2021-06-21",2016,6,0,"25316 PREDICTION LN; 43774 CLUBBER LN; 43764 CLUBBER LN"
"030455548000","EDGECORE DULLES","MECP1 ASHBURN 1 LLC","Private",-77.427551,39.028515,258716,"BUILT","OP","SUBURBAN MIXED USE","SUBURBAN",12.5504193489659,1,258716,"2021-02-23","2021-02-23",2022,1,0,"21215 ATLANTIC BLVD"
"029151508000","EDGECORE DULLES","MECP2 ASHBURN 2 LLC","Private",-77.428591,39.030317,258716,"BUILT","OP","SUBURBAN MIXED USE","SUBURBAN",10.6106661113346,1,258716,"2020-12-11","2020-12-11",2022,1,0,"21205 ATLANTIC BLVD"
